Player,Rating,ACS,Kills,Deaths,Assists,+/-,KAST,ADR,HS%,FK,FD,FK-Diff,Rounds
mitch,1.04,183,28,31,17,-3,75%,129,28%,0,2,-2,44
neT,0.81,159,22,27,7,-5,70%,94,42%,3,6,-3,44
N4RRATE,1.60,277,62,35,35,+27,86%,182,28%,9,3,+6,65
johnqt,1.30,199,50,33,31,+17,78%,132,29%,3,5,-2,65
bang,0.91,172,39,42,22,-3,80%,108,33%,7,4,+3,65
zekken,0.90,184,45,47,19,-2,72%,117,23%,4,11,-7,65
Zellsis,0.89,194,39,45,19,-6,60%,126,25%,10,9,+1,65
lukxo,1.21,273,61,49,16,+12,66%,181,27%,12,6,+6,65
dgzin,1.07,226,53,50,11,+3,71%,148,37%,14,8,+6,65
tuyz,0.80,124,28,42,28,-14,71%,84,37%,1,5,-4,65
pANcada,0.78,165,36,49,18,-13,65%,113,32%,5,6,-1,65
cauanzin,0.65,111,24,45,11,-21,58%,78,18%,0,8,-8,65
Mazino,1.16,254,32,33,11,-1,70%,145,27%,4,4,0,37
Shyy,0.86,176,24,29,5,-5,59%,120,35%,1,3,-2,37
keznit,0.69,180,22,35,10,-13,59%,129,33%,6,7,-1,37
Melser,0.65,133,17,30,12,-13,59%,96,27%,4,5,-1,37
adverso,0.62,151,19,31,7,-12,65%,104,25%,1,2,-1,37
supamen,1.66,281,43,19,10,+24,78%,178,43%,2,1,+1,37
Derrek,1.20,231,30,23,8,+7,78%,157,25%,2,1,+1,37
NaturE,1.19,247,32,23,18,+9,78%,159,22%,2,2,0,37
icy,1.08,245,32,24,7,+8,84%,155,25%,9,9,0,37
yay,0.75,143,21,25,7,-4,70%,91,39%,6,3,+3,37
Ethan,1.24,241,32,28,9,+4,81%,153,28%,6,3,+3,37
mada,1.07,220,27,27,9,0,70%,142,23%,7,7,0,37
FiNESSE,0.66,126,18,28,5,-10,54%,83,17%,2,2,0,37
s0m,0.65,161,21,31,12,-10,76%,106,22%,2,7,-5,37
brawk,0.64,160,19,31,11,-12,68%,114,13%,0,1,-1,37
Verno,1.59,272,38,18,8,+20,86%,183,26%,2,1,+1,37
aspas,1.45,293,39,23,5,+16,81%,200,26%,10,4,+6,37
xenom,0.99,193,27,26,10,+1,68%,135,46%,3,3,0,37
cortezia,0.96,180,25,25,5,0,73%,128,39%,2,4,-2,37
artzin,0.67,127,16,25,11,-9,68%,83,21%,3,5,-2,37
trent,1.24,205,44,35,25,+9,78%,142,27%,4,3,+1,59
jawgemo,1.15,234,49,44,15,+5,71%,148,29%,12,9,+3,59
leaf,1.05,212,44,41,17,+3,75%,128,21%,5,6,-1,59
valyn,0.95,189,38,43,25,-5,80%,131,20%,4,3,+1,59
JonahP,0.91,166,34,42,24,-8,64%,111,21%,5,8,-3,59
mitch,1.07,208,42,40,26,+2,71%,149,23%,5,3,+2,59
v1c,1.05,174,34,37,24,-3,71%,125,26%,0,4,-4,59
Xeppaa,1.02,206,45,42,17,+3,64%,142,33%,8,5,+3,59
neT,1.00,194,44,39,11,+5,75%,123,31%,6,5,+1,59
OXY,0.73,207,40,51,15,-11,63%,128,19%,10,13,-3,59
aspas,1.45,290,63,33,3,+30,76%,175,30%,14,8,+6,59
Verno,1.29,210,45,32,20,+13,81%,140,28%,5,3,+2,59
xenom,1.03,181,42,35,17,+7,75%,113,33%,5,5,0,59
cortezia,0.92,173,39,36,11,+3,71%,121,47%,4,3,+1,59
artzin,0.87,187,38,43,25,-5,69%,125,21%,5,7,-2,59
pryze,1.07,201,43,42,15,+1,68%,139,21%,2,2,0,59
Khalil,0.90,176,36,43,10,-7,71%,115,30%,3,5,-2,59
heat,0.88,172,38,45,9,-7,63%,124,38%,1,3,-2,59
havoc,0.80,205,41,49,6,-8,59%,133,34%,18,18,0,59
raafa,0.52,117,21,48,36,-27,68%,76,23%,2,5,-3,59
zekken,1.90,349,46,18,10,+28,91%,229,34%,9,2,+7,35
bang,1.58,268,35,19,18,+16,86%,163,38%,5,3,+2,35
johnqt,1.39,179,22,14,26,+8,91%,126,33%,2,1,+1,35
N4RRATE,1.13,190,22,20,15,+2,83%,122,16%,5,3,+2,35
Zellsis,0.83,156,19,23,14,-4,74%,99,21%,2,3,-1,35
Askia,0.76,166,21,28,3,-7,54%,112,35%,5,3,+2,35
PxS,0.73,152,19,28,5,-9,66%,105,32%,3,4,-1,35
gobera,0.67,189,21,31,4,-10,57%,127,41%,1,4,-3,35
silentzz,0.62,161,18,29,9,-11,57%,115,40%,1,7,-6,35
lz,0.54,142,15,28,17,-13,66%,88,38%,2,5,-3,35
Shyy,1.23,235,38,27,4,+11,71%,150,32%,4,4,0,45
adverso,1.04,183,28,27,10,+1,73%,127,19%,3,4,-1,45
keznit,1.02,235,38,33,4,+5,69%,157,25%,10,8,+2,45
Melser,1.01,204,32,29,7,+3,78%,125,29%,5,2,+3,45
Mazino,0.97,196,33,32,13,+1,82%,133,28%,2,3,-1,45
eeiu,1.30,207,34,27,12,+7,87%,149,31%,2,1,+1,45
Cryocells,1.00,201,34,32,6,+2,71%,140,39%,5,5,0,45
Asuna,0.99,243,38,39,7,-1,62%,158,27%,8,8,0,45
zander,0.88,171,24,33,19,-9,71%,113,21%,6,6,0,45
Boostio,0.56,129,18,38,23,-20,64%,87,21%,0,4,-4,45
icy,0.99,218,56,59,16,-3,78%,152,28%,9,13,-4,74
Derrek,0.99,173,46,49,17,-3,68%,128,25%,3,7,-4,74
yay,0.95,224,59,61,11,-2,68%,145,32%,13,7,+6,74
supamen,0.95,201,55,53,13,+2,70%,126,40%,8,4,+4,74
NaturE,0.79,159,39,55,23,-16,65%,113,21%,4,6,-2,74
pANcada,1.51,275,75,45,32,+30,81%,187,33%,12,3,+9,74
lukxo,1.17,260,68,53,20,+15,66%,161,29%,10,9,+1,74
tuyz,1.02,183,48,50,32,-2,77%,121,32%,3,1,+2,74
cauanzin,0.83,172,44,54,15,-10,72%,119,28%,4,6,-2,74
dgzin,0.68,153,40,53,13,-13,62%,99,25%,8,18,-10,74
kiNgg,1.08,216,38,35,13,+3,69%,138,30%,6,5,+1,49
Demon1,1.02,186,35,32,11,+3,71%,122,40%,8,3,+5,49
tex,0.84,179,31,35,8,-4,71%,128,30%,1,8,-7,49
C0M,0.83,146,24,32,12,-8,82%,101,20%,2,4,-2,49
Rossy,0.62,150,22,39,27,-17,69%,94,18%,4,7,-3,49
mada,1.45,305,49,33,11,+16,71%,207,32%,16,8,+8,49
Ethan,1.33,221,39,29,24,+10,78%,150,26%,1,4,-3,49
s0m,1.18,184,30,26,20,+4,86%,124,36%,3,1,+2,49
brawk,1.12,203,36,29,15,+7,76%,136,15%,5,5,0,49
FiNESSE,0.67,113,19,34,11,-15,67%,71,14%,3,4,-1,49
